iso_3166	who_member_state	who_region
UM | UMI | 581	FALSE	
URY	TRUE	Region of the Americas
UZB	TRUE	European Region
VUT	TRUE	Western Pacific Region
VEN	TRUE	Region of the Americas
VNM	TRUE	Western Pacific Region
VIR	FALSE	
XWK	FALSE	
WLF	FALSE	
XWB	FALSE	
EH | ESH | 732	FALSE	
YEM	TRUE	Eastern Mediterranean Region
ZMB	TRUE	African Region
ZWE	TRUE	African Region
